5/14/20,Long-Beach_CA,778
5/14/20,Redondo-Beach_CA,180
5/14/20,Gardena_CA,79
5/14/20,Torrance_CA,253
5/14/20,Hawthorne_CA,84
5/14/20,Culver-City_CA,102
5/14/20,Playa-Vista_CA,49
5/14/20,Playa-Del-Rey_CA,202
5/14/20,El-Segundo_CA,35
5/14/20,Ladera-Heights_CA,16
5/14/20,Fox-Hills_Culver-City_CA,18
5/14/20,Lawndale_CA,29
,Total,1825
5/15/20,Long-Beach_CA,778
5/15/20,Redondo-Beach_CA,180
5/15/20,Gardena_CA,84
5/15/20,Torrance_CA,253
5/15/20,Hawthorne_CA,84
5/15/20,Culver-City_CA,102
5/15/20,Playa-Vista_CA,49
5/15/20,Playa-Del-Rey_CA,202
5/15/20,El-Segundo_CA,35
5/15/20,Ladera-Heights_CA,16
5/15/20,Fox-Hills_Culver-City_CA,18
5/15/20,Lawndale_CA,29
,Total,1830
5/17/20,Long-Beach_CA,778
5/17/20,Redondo-Beach_CA,180
5/17/20,Gardena_CA,84
5/17/20,Torrance_CA,253
5/17/20,Hawthorne_CA,84
5/17/20,Culver-City_CA,102
5/17/20,Playa-Vista_CA,49
5/17/20,Playa-Del-Rey_CA,202
5/17/20,El-Segundo_CA,35
5/17/20,Ladera-Heights_CA,16
5/17/20,Fox-Hills_Culver-City_CA,18
5/17/20,Lawndale_CA,40
,Total,1841
5/18/20,Long-Beach_CA,934
5/18/20,Redondo-Beach_CA,195
5/18/20,Gardena_CA,84
5/18/20,Torrance_CA,279
5/18/20,Hawthorne_CA,84
5/18/20,Culver-City_CA,109
5/18/20,Playa-Vista_CA,49
5/18/20,Playa-Del-Rey_CA,216
5/18/20,El-Segundo_CA,35
5/18/20,Ladera-Heights_CA,16
5/18/20,Fox-Hills_Culver-City_CA,18
5/18/20,Lawndale_CA,40
,Total,2059
5/19/20,Long-Beach_CA,934
5/19/20,Redondo-Beach_CA,195
5/19/20,Gardena_CA,84
5/19/20,Torrance_CA,279
5/19/20,Hawthorne_CA,84
5/19/20,Culver-City_CA,109
5/19/20,Playa-Vista_CA,49
5/19/20,Playa-Del-Rey_CA,216
5/19/20,El-Segundo_CA,35
5/19/20,Ladera-Heights_CA,16
5/19/20,Fox-Hills_Culver-City_CA,18
5/19/20,Lawndale_CA,40
,total,2059
5/20/20,Long-Beach_CA,934
5/20/20,Redondo-Beach_CA,195
5/20/20,Gardena_CA,84
5/20/20,Torrance_CA,279
5/20/20,Hawthorne_CA,84
5/20/20,Culver-City_CA,109
5/20/20,Playa-Vista_CA,49
5/20/20,Playa-Del-Rey_CA,216
5/20/20,El-Segundo_CA,35
5/20/20,Ladera-Heights_CA,16
5/20/20,Fox-Hills_Culver-City_CA,18
5/20/20,Lawndale_CA,40
,Total,2059
5/22/20,Long-Beach_CA,934
5/22/20,Redondo-Beach_CA,195
5/22/20,Gardena_CA,84
5/22/20,Torrance_CA,279
5/22/20,Hawthorne_CA,91
5/22/20,Culver-City_CA,109
5/22/20,Playa-Vista_CA,52
5/22/20,Playa-Del-Rey_CA,216
5/22/20,El-Segundo_CA,39
5/22/20,Ladera-Heights_CA,16
5/22/20,Fox-Hills_Culver-City_CA,18
5/22/20,Lawndale_CA,40
,total,2073
5/23/20,Long-Beach_CA,934
5/23/20,Redondo-Beach_CA,195
5/23/20,Gardena_CA,97
5/23/20,Torrance_CA,279
5/23/20,Hawthorne_CA,91
5/23/20,Culver-City_CA,109
5/23/20,Playa-Vista_CA,52
5/23/20,Playa-Del-Rey_CA,216
5/23/20,El-Segundo_CA,39
5/23/20,Ladera-Heights_CA,16
5/23/20,Fox-Hills_Culver-City_CA,18
5/23/20,Lawndale_CA,40
,Total,2086
5/24/20,Long-Beach_CA,946
5/24/20,Redondo-Beach_CA,195
5/24/20,Gardena_CA,97
5/24/20,Torrance_CA,279
5/24/20,Hawthorne_CA,91
5/24/20,Culver-City_CA,115
5/24/20,Playa-Vista_CA,52
5/24/20,Playa-Del-Rey_CA,216
5/24/20,El-Segundo_CA,39
5/24/20,Ladera-Heights_CA,16
